true_positives,541,39,22,44,13,26,38,19,35,58,18,10,10,7,41,15,53,28,35,30
true_negatives,9738,502,519,497,528,515,503,522,506,483,523,531,531,534,500,526,488,513,506,511
false_positives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
false_negatives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensitivity,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
specificity,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
precision,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
negative_predictive_value,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
balanced_accuracy,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
f1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
