fold,item,actual_category,guess_category,correct,bird_sim,building_sim,clothing_sim,fish_sim,fruit_sim,furniture_sim,invertebrate_sim,kitchen_sim,mammal_sim,musical_instrument_sim,plant_sim,reptile_sim,room_sim,tool_sim,toy_sim,UNKNOWN_sim,vegetable_sim,vehicle_sim,weapon_sim
0,cabin,building,building,1,0.013,0.669,0.003,0.011,0.001,0.026,0.027,0.025,0.003,0.076,0.006,0.007,0.007,0.001,0.023,0.025,0.009,0.016,0.012
0,mouse_(computer),UNKNOWN,UNKNOWN,1,0.024,0.009,0.022,0.001,0.006,0.007,0.002,0.020,0.022,0.005,0.002,0.002,0.003,0.003,0.002,0.753,0.004,0.001,0.003
0,parsley,vegetable,vegetable,1,0.003,0.011,0.016,0.011,0.133,0.023,0.012,0.001,0.002,0.012,0.027,0.008,0.007,0.008,0.017,0.024,0.539,0.020,0.003
0,ox,mammal,mammal,1,0.060,0.013,0.007,0.044,0.021,0.002,0.056,0.002,0.712,0.020,0.079,0.089,0.018,0.001,0.006,0.175,0.010,0.014,0.002
0,hare,mammal,mammal,1,0.060,0.013,0.007,0.044,0.021,0.002,0.056,0.002,0.712,0.020,0.079,0.089,0.018,0.001,0.006,0.175,0.010,0.014,0.002
0,blueberry,fruit,fruit,1,0.007,0.003,0.034,0.009,0.657,0.002,0.003,0.040,0.005,0.001,0.039,0.013,0.004,0.060,0.015,0.021,0.124,0.006,0.012
0,microscope,tool,tool,1,0.012,0.001,0.047,0.003,0.069,0.010,0.001,0.126,0.001,0.012,0.010,0.005,0.002,0.649,0.025,0.048,0.012,0.005,0.016
0,crowbar,tool,tool,1,0.010,0.002,0.033,0.004,0.054,0.018,0.002,0.104,0.001,0.022,0.009,0.004,0.003,0.613,0.035,0.045,0.020,0.008,0.023
0,pillow,furniture,furniture,1,0.013,0.017,0.098,0.004,0.002,0.628,0.012,0.021,0.001,0.064,0.001,0.003,0.008,0.015,0.008,0.041,0.018,0.039,0.079
0,cape,clothing,clothing,1,0.017,0.002,0.782,0.001,0.021,0.028,0.003,0.003,0.001,0.002,0.011,0.003,0.003,0.019,0.008,0.045,0.016,0.002,0.022
0,surfboard,vehicle,vehicle,1,0.001,0.050,0.029,0.038,0.012,0.265,0.074,0.004,0.012,0.086,0.022,0.031,0.042,0.007,0.020,0.006,0.062,0.414,0.083
