true_positives,491,38,22,44,5,23,35,19,34,53,16,4,7,0,39,11,52,28,34,27
true_negatives,9688,501,519,497,520,512,500,522,505,478,521,525,528,527,498,522,487,513,505,508
false_positives,50,6,3,0,0,0,3,3,5,7,1,0,3,0,4,2,0,11,0,2
false_negatives,50,1,0,0,8,3,3,0,1,5,2,6,3,7,2,4,1,0,1,3
sensitivity,0.908,0.974,1.000,1.000,0.385,0.885,0.921,1.000,0.971,0.914,0.889,0.400,0.700,0.000,0.951,0.733,0.981,1.000,0.971,0.900
specificity,0.994,0.988,0.994,1.000,1.000,1.000,0.994,0.994,0.990,0.986,0.998,1.000,0.994,1.000,0.992,0.996,1.000,0.979,1.000,0.996
precision,nan,0.864,0.880,1.000,1.000,1.000,0.921,0.864,0.872,0.883,0.941,1.000,0.700,nan,0.907,0.846,1.000,0.718,1.000,0.931
negative_predictive_value,0.996,0.998,1.000,1.000,0.985,0.994,0.994,1.000,0.998,0.990,0.996,0.989,0.994,0.987,0.996,0.992,0.998,1.000,0.998,0.994
balanced_accuracy,0.951,0.981,0.997,1.000,0.692,0.942,0.958,0.997,0.981,0.950,0.943,0.700,0.847,0.500,0.972,0.865,0.991,0.990,0.986,0.948
f1,0.898,0.916,0.936,1.000,0.556,0.939,0.921,0.927,0.919,0.898,0.914,0.571,0.700,0.000,0.929,0.786,0.990,0.836,0.986,0.915
