true_positives,422,39,15,40,13,25,21,16,28,55,18,6,10,4,26,8,22,24,28,24
true_negatives,9619,502,512,493,528,514,486,519,499,480,523,527,531,531,485,519,457,509,499,505
false_positives,119,1,7,8,4,4,11,3,13,0,2,1,3,5,21,7,15,5,6,3
false_negatives,119,0,7,4,0,1,17,3,7,3,0,4,0,3,15,7,31,4,7,6
sensitivity,0.780,1.000,0.682,0.909,1.000,0.962,0.553,0.842,0.800,0.948,1.000,0.600,1.000,0.571,0.634,0.533,0.415,0.857,0.800,0.800
specificity,0.985,0.998,0.987,0.984,0.992,0.992,0.978,0.994,0.975,1.000,0.996,0.998,0.994,0.991,0.958,0.987,0.968,0.990,0.988,0.994
precision,0.779,0.975,0.682,0.833,0.765,0.862,0.656,0.842,0.683,1.000,0.900,0.857,0.769,0.444,0.553,0.533,0.595,0.828,0.824,0.889
negative_predictive_value,0.984,1.000,0.987,0.992,1.000,0.998,0.966,0.994,0.986,0.994,1.000,0.992,1.000,0.994,0.970,0.987,0.936,0.992,0.986,0.988
balanced_accuracy,0.883,0.999,0.834,0.947,0.996,0.977,0.765,0.918,0.887,0.974,0.998,0.799,0.997,0.781,0.796,0.760,0.692,0.924,0.894,0.897
f1,0.775,0.987,0.682,0.870,0.867,0.909,0.600,0.842,0.737,0.973,0.947,0.706,0.870,0.500,0.591,0.533,0.489,0.842,0.812,0.842
