fold,item,actual_category,guess_category,correct,bird_sim,building_sim,clothing_sim,fish_sim,fruit_sim,furniture_sim,invertebrate_sim,kitchen_sim,mammal_sim,musical_instrument_sim,plant_sim,reptile_sim,room_sim,tool_sim,toy_sim,UNKNOWN_sim,vegetable_sim,vehicle_sim,weapon_sim
0,robe,clothing,clothing,1,-0.005,-0.011,0.447,0.009,-0.001,0.119,0.027,0.005,-0.001,0.012,0.039,0.097,-0.008,0.093,0.077,0.032,0.022,0.029,0.042
0,magazine,UNKNOWN,UNKNOWN,1,-0.002,-0.010,-0.007,-0.005,-0.006,-0.010,-0.002,0.001,-0.008,-0.005,-0.005,-0.008,-0.007,-0.006,0.012,0.080,-0.006,-0.010,-0.008
0,cheetah,mammal,mammal,1,0.061,-0.010,-0.008,0.030,0.006,0.009,0.048,-0.010,0.450,-0.005,-0.005,0.127,-0.007,-0.008,0.001,-0.011,0.002,0.097,0.011
0,pheasant,bird,bird,1,0.788,-0.008,-0.010,0.187,0.055,-0.011,0.254,-0.008,0.191,-0.005,-0.005,0.074,-0.006,-0.010,-0.008,0.061,0.128,0.010,-0.005
0,parakeet,bird,bird,1,0.716,0.026,0.002,0.017,0.013,-0.003,0.161,-0.001,0.047,0.010,-0.006,0.048,-0.003,0.005,0.055,0.022,-0.004,0.024,0.014
0,coconut,fruit,fruit,1,0.015,-0.010,-0.002,0.043,0.350,0.003,0.112,0.019,0.054,0.005,0.045,0.041,-0.009,0.011,0.055,0.130,0.106,-0.004,-0.007
0,beets,vegetable,vegetable,1,0.003,0.010,0.004,0.044,0.256,0.023,0.113,0.053,0.002,0.000,0.048,-0.004,-0.007,0.031,0.122,0.118,0.570,0.020,-0.003
0,radish,vegetable,vegetable,1,0.026,0.133,0.010,0.042,0.210,0.019,0.167,0.039,0.040,0.006,0.039,0.038,0.010,0.038,0.124,0.121,0.509,0.017,0.023
0,spatula,kitchen,kitchen,1,-0.006,0.115,0.065,0.003,-0.005,0.223,0.006,0.589,-0.005,0.061,0.036,0.046,0.036,0.440,0.213,0.212,0.013,0.125,0.195
0,bouquet,plant,toy,0,0.006,-0.007,0.004,-0.004,-0.005,-0.003,0.016,-0.007,-0.007,-0.004,0.015,-0.006,-0.005,-0.000,0.048,0.002,-0.005,-0.008,-0.006
0,jeep,vehicle,vehicle,1,-0.006,0.028,-0.012,-0.005,0.015,-0.004,0.005,-0.009,-0.009,-0.006,0.045,0.049,-0.008,-0.008,0.121,-0.017,0.064,0.316,0.015
