fold,item,actual_category,guess_category,correct,a_sim,b_sim,c_sim,d_sim,e_sim,f_sim
0,e16,e,e,1,0.051,0.102,-0.127,-0.030,0.547,0.246
0,a32,a,a,1,0.812,-0.536,0.034,-0.060,0.343,-0.431
0,a34,a,a,1,0.834,-0.404,0.080,0.247,0.514,-0.472
0,a42,a,a,1,0.915,-0.371,0.574,-0.070,0.336,-0.459
0,f10,f,f,1,-0.334,-0.582,-0.072,-0.166,-0.261,0.804
0,e29,e,e,1,0.517,-0.152,0.528,0.286,0.754,-0.279
0,b48,b,b,1,0.045,0.878,0.374,-0.199,0.007,-0.295
0,e13,e,e,1,0.492,-0.008,0.179,0.410,0.724,-0.286
0,a8,a,c,0,0.679,0.102,0.696,-0.505,-0.106,-0.563
0,c19,c,c,1,0.606,-0.057,0.728,-0.147,0.104,-0.621
0,b23,b,b,1,-0.321,0.864,0.135,-0.217,-0.081,0.027
0,f16,f,f,1,-0.331,-0.065,0.196,-0.104,0.094,0.679
0,c18,c,c,1,0.169,0.226,0.740,-0.784,-0.448,-0.260
0,d47,d,d,1,-0.287,0.195,-0.424,0.888,0.323,0.308
0,d26,d,d,1,0.089,-0.288,-0.154,0.768,0.097,0.254
0,b42,b,b,1,-0.141,0.864,0.010,-0.101,0.066,-0.249
0,a46,a,a,1,0.791,-0.335,0.292,0.244,0.494,-0.117
0,f21,f,f,1,-0.298,-0.618,-0.542,0.248,0.003,0.849
0,a31,a,a,1,0.804,0.061,0.153,0.038,0.218,-0.598
0,e7,e,e,1,0.403,-0.215,-0.240,0.445,0.819,-0.233
0,c28,c,c,1,-0.089,0.259,0.717,-0.441,-0.107,-0.058
0,d44,d,d,1,0.462,-0.279,0.138,0.795,0.664,-0.102
0,d13,d,b,0,-0.144,0.615,-0.304,0.330,0.235,0.042
0,c44,c,c,1,-0.038,-0.141,0.643,-0.405,0.013,-0.067
0,e27,e,e,1,0.711,-0.516,-0.013,0.348,0.750,-0.098
0,c1,c,c,1,0.087,0.139,0.814,-0.581,-0.313,-0.136
0,b26,b,b,1,-0.083,0.746,0.176,-0.233,-0.219,-0.492
0,d21,d,d,1,0.122,-0.392,-0.252,0.901,0.601,0.183
0,c43,c,c,1,0.351,-0.073,0.579,-0.450,0.137,-0.122
0,b27,b,b,1,-0.178,0.893,0.170,-0.213,0.087,-0.261
0,e17,e,e,1,0.173,-0.043,0.263,0.450,0.760,0.130
0,b29,b,b,1,-0.067,0.806,0.145,-0.025,-0.060,-0.007
0,c40,c,c,1,0.424,0.455,0.816,-0.339,0.141,-0.300
0,c4,c,c,1,0.587,-0.003,0.707,-0.499,-0.023,-0.761
0,b1,b,b,1,-0.154,0.894,0.053,0.083,-0.081,-0.274
0,f27,f,f,1,-0.437,-0.337,-0.286,0.213,-0.036,0.854
0,b19,b,b,1,-0.399,0.951,-0.012,-0.023,-0.207,-0.229
0,f26,f,f,1,-0.594,-0.191,-0.029,-0.129,-0.076,0.629
0,e44,e,e,1,0.034,-0.189,-0.233,0.030,0.434,-0.187
0,f49,f,f,1,-0.404,-0.350,-0.291,0.188,-0.125,0.855
0,f37,f,f,1,-0.642,-0.214,-0.712,0.511,0.188,0.726
0,f46,f,f,1,-0.743,0.154,-0.641,0.262,-0.187,0.846
0,b7,b,b,1,-0.046,0.625,0.121,0.228,-0.133,-0.054
0,f25,f,f,1,-0.334,-0.243,-0.008,0.015,0.095,0.869
0,e40,e,e,1,0.393,-0.103,-0.234,0.264,0.526,-0.215
0,b6,b,b,1,-0.444,0.640,0.149,0.092,-0.326,0.210
0,d8,d,d,1,-0.173,-0.097,-0.355,0.797,0.409,0.344
0,d49,d,d,1,0.322,0.168,-0.070,0.815,0.661,-0.143
0,b15,b,b,1,-0.251,0.916,0.375,-0.356,-0.215,-0.224
0,c3,c,c,1,0.490,0.342,0.852,-0.220,0.348,-0.569
0,f39,f,f,1,-0.581,-0.325,-0.631,0.052,-0.562,0.599
0,f7,f,f,1,-0.348,-0.483,-0.316,0.150,-0.250,0.798
0,a43,a,a,1,0.712,0.107,0.304,-0.079,-0.159,-0.706
0,a33,a,a,1,0.814,-0.307,0.596,0.177,0.525,-0.402
0,c38,c,c,1,-0.066,0.518,0.520,0.114,0.148,-0.111
0,e23,e,e,1,-0.283,0.378,-0.273,0.270,0.527,0.400
0,e35,e,e,1,0.023,-0.050,0.285,0.330,0.736,0.144
